Reporting Range=["Monthly"],Select year=["2025"],Select month=["November"],Search Term=["berberine"]
"Search Frequency Rank","Search Term","Top Clicked Brand #1","Top Clicked Brands #2","Top Clicked Brands #3","Top Clicked Category #1","Top Clicked Category #2","Top Clicked Category #3","Top Clicked Product #1: ASIN","Top Clicked Product #1: Product Title","Top Clicked Product #1: Click Share","Top Clicked Product #1: Conversion Share","Top Clicked Product #2: ASIN","Top Clicked Product #2: Product Title","Top Clicked Product #2: Click Share","Top Clicked Product #2: Conversion Share","Top Clicked Product #3: ASIN","Top Clicked Product #3: Product Title","Top Clicked Product #3: Click Share","Top Clicked Product #3: Conversion Share","Reporting Date"
"953","berberine","THORNE","Nature's Bounty","Nutricost","Health & Personal Care","Beauty","Grocery","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","8.44","7.02","B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","7.8","5.83","B079GH6V2Z","Nutricost Berberine HCl 1200mg , 60 Vegetarian Capsules - Gluten Free & Non-GMO","4.19","3.98","2025-11-30"
"2722","berberine supplement","Nature's Bounty","THORNE","ForestLeaf","Health & Personal Care","Home","Beauty","B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","9.11","7.35","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","7.18","5.59","B0CYR7H7LC","ForestLeaf Berberine Supplement - 1300mg per Serving - Ultra High Potency Berberine HCl with Ceylon Cinnamon, Bitter Melon & Gymnema - Weight Management Support - 90 Caps","5.14","2.59","2025-11-30"
"16178","berberine with ceylon cinnamon","Clean Nutraceuticals","NUTRIFLAIR","Carlyle","Health & Personal Care","Grocery","Pet Products","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","9.81","8.45","B0D75VX5ML","Clean Nutra Berberine with Ceylon Cinnamon Supplement Liquid Drops + Bitter Melon Extract, Glucomannan, Gymnema, Chromium, Turmeric, Organic Panax Ginseng, Moringa GLP-1 Support","9.55","6.28","B08HHQWBBZ","NutriFlair Premium Berberine HCL 1200mg, 120 Capsules - Plus Pure True Ceylon Cinnamon, Berberine HCI Root Supplements Pills - Immune System - yields an Optimal 8% HCl","7.24","6.86","2025-11-30"
"19884","berberine weight loss","ForestLeaf","Aumeto","Purify Life","Health & Personal Care","Prescription_Drugs","Beauty","B0CYR7H7LC","ForestLeaf Berberine Supplement - 1300mg per Serving - Ultra High Potency Berberine HCl with Ceylon Cinnamon, Bitter Melon & Gymnema - Weight Management Support - 90 Caps","10.62","5.67","B0CTKCNRQS","Berberine Supplement - Enhanced with Ceylon Cinnamon, Turmeric, Milk Thistle, Bitter Melon for Digestion, Immunity & Weight Managament (150 Count (Pack of 1))","9.91","8.32","B0FKZCPLR5","GLP1 Support for Weight Loss - Sugar-Free Berberine Complex Gummies w Ceylon Cinnamon, Milk Thistle, ACV [AMPK Metabolic Activator] Berberine Supplement for Appetite Control, Carb Blocker & Fat Burn","9.82","5.52","2025-11-30"
"33772","berberine 500mg","NOW","NATUREBELL","THORNE","Health & Personal Care","Home","Beauty","B0DXM7Q176","NOW Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","11.48","9.5","B0C7FF131K","NatureBell Berberine Supplement 500mg | 300 Veggie Capsules, 97% Pure Berberine HCL – 5:1 Root Extract – Plant Based, Vegan, Non-GMO","9.6","9.56","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","5.61","4.73","2025-11-30"
"38271","thorne berberine","THORNE","NOW","SOLARAY","Health & Personal Care","Pet Products","Grocery","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","83.5","82.69","B00F5US2BY","THORNE - Berberine - 200 mg (Formerly Berbercap) - Supports Heart Function, Immune System and Gut Health* - 60 Capsules","5.77","4.67","B0DXM7Q176","NOW Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","0.84","0.7","2025-11-30"
"79948","berberine phytosome","FeelGood Superfoods","Enzymedica","THORNE","Health & Personal Care","Digital_Ebook_Purchase",,"B0DF83J5CL","Feelgood Superfoods Berberine - High Absorption - 2200mg Equivalent - Herbal Supplement - Lower Blood Glucose - Helps Cholesterol - 60 Capsules","28.59","25.86","B0D1YS8N4Z","Enzymedica, Berberine Phytosome, 9.6X Better Bioavailability, High Potency Natural Vegan Dietary Supplement for Metabolic Support, 60 Capsules","12.2","11.21","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","7.0","5.26","2025-11-30"
"94008","berberine gummies","Purify Life","MEENCCD","BVIVLOO","Health & Personal Care","Pet Products",,"B0FKZCPLR5","GLP1 Support for Weight Loss - Sugar-Free Berberine Complex Gummies w Ceylon Cinnamon, Milk Thistle, ACV [AMPK Metabolic Activator] Berberine Supplement for Appetite Control, Carb Blocker & Fat Burn","21.25","14.93","B0DJ94N1KW","MEENCCD Berberine Gummies with Ceylon Cinnamon 1500mg High Potency Berberine HCL Supplement for Immune Support, Sugar Free, Vegan, Strawberry Flavor, 60 Count","13.09","11.64","B0DSBBBKPR","2000mg Berberine Supplement Gummies – High Potency Wellness Blend with Ceylon Cinnamon, Turmeric, Magnesium & Chromium, Vegan, Non-GMO, Gluten-Free, Peach Flavor, 60 Gummies - 1 Pack","7.86","7.16","2025-11-30"
"95498","berberine patches","Sunrogftic","Kind Patches","Xagnum Bolace","Health & Personal Care","Beauty","Home","B0FMXXBBJH","Sunrogftic GLP-1 Patches, Natural Ingredients with Berberine, Cinnamon & L-Glutamine, Health Support & Physical Management, Transdermal Patch for Daily Wellness - 1 Packs, 30 Patches","31.95","31.36","B0FYRG4789","Kind Patches GLP-1 Patches with L Glutamine, Berberine, Chromium, Pomegranate and Cinnamon - 2 Pack, 60 Patches","11.1","7.39","B0FPF11BNP","Xagnum Bolace GLP-1 Patches with L Glutamine, Berberine, and Cinnamon, Natural Ingredients Patches for Men and Women - 30 C","8.13","6.73","2025-11-30"
"127900","berberine drops","Clean Nutraceuticals","Nutribear","Wild & Organic","Health & Personal Care","Home",,"B0D75VX5ML","Clean Nutra Berberine with Ceylon Cinnamon Supplement Liquid Drops + Bitter Melon Extract, Glucomannan, Gymnema, Chromium, Turmeric, Organic Panax Ginseng, Moringa GLP-1 Support","33.08","25.11","B0FKGRTMZQ","Berberine with Ceylon Cinnamon - Berberine Supplement Liquid Drops with Bitter Melon Extract, Turmeric, Chromium, Gymnema, Moringa, AMPK Activator for Digestion System, Immune Health Support, 2 fl oz","8.25","5.17","B0DHLWWXVR","Wild & Organic Berberine Drops 500mg - Liquid Berberine Supplement HCL for Overall Support - Pure Extract Tincture - Vegan, Alcohol & Sugar-Free - 4 fl oz","7.86","6.5","2025-11-30"
