Reporting Range=["Monthly"],Select year=["2025"],Select month=["December"],Search Term=["berberine"]
"Search Frequency Rank","Search Term","Top Clicked Brand #1","Top Clicked Brands #2","Top Clicked Brands #3","Top Clicked Category #1","Top Clicked Category #2","Top Clicked Category #3","Top Clicked Product #1: ASIN","Top Clicked Product #1: Product Title","Top Clicked Product #1: Click Share","Top Clicked Product #1: Conversion Share","Top Clicked Product #2: ASIN","Top Clicked Product #2: Product Title","Top Clicked Product #2: Click Share","Top Clicked Product #2: Conversion Share","Top Clicked Product #3: ASIN","Top Clicked Product #3: Product Title","Top Clicked Product #3: Click Share","Top Clicked Product #3: Conversion Share","Reporting Date"
"987","berberine","Carlyle","THORNE","Nature's Bounty","Health & Personal Care","Grocery","Beauty","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","10.23","3.21","B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","8.87","6.75","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","8.69","7.47","2025-12-31"
"2868","berberine supplement","Nature's Bounty","Carlyle","THORNE","Health & Personal Care","Grocery","Pet Products","B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","11.18","9.15","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","7.83","2.11","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","7.18","5.8","2025-12-31"
"13140","berberine with ceylon cinnamon","Carlyle","Clean Nutraceuticals","NUTRIFLAIR","Health & Personal Care","Grocery","Beauty","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","18.13","9.71","B0D75VX5ML","Clean Nutra Berberine with Ceylon Cinnamon Supplement Liquid Drops + Bitter Melon Extract, Glucomannan, Gymnema, Chromium, Turmeric, Organic Panax Ginseng, Moringa GLP-1 Support","11.72","7.54","B07WHQLDM6","NutriFlair Berberine with Ceylon Cinnamon 1450mg Supplement – 120 Capsules | High Potency Formula with Berberine HCl & Organic Ceylon Cinnamon | Non-GMO, Vegan, Gluten-Free","7.0","8.36","2025-12-31"
"18434","berberine weight loss","Carlyle","ForestLeaf","Etta Vita","Health & Personal Care","Grocery","Home","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","19.41","6.87","B0CYR7H7LC","ForestLeaf Berberine Supplement - 1300mg per Serving - Ultra High Potency Berberine HCl with Ceylon Cinnamon, Bitter Melon & Gymnema - Weight Management Support - 90 Caps","14.63","7.96","B0CTKCNRQS","Berberine Supplement - Enhanced with Ceylon Cinnamon, Turmeric, Milk Thistle, Bitter Melon for Digestion, Immunity & Weight Managament (150 Count (Pack of 1))","8.58","7.86","2025-12-31"
"35681","berberine 500mg","NOW","NATUREBELL","THORNE","Health & Personal Care","Home","Beauty","B0DXM7Q176","Now Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","14.61","12.95","B0C7FF131K","NatureBell Berberine Supplement 500mg | 300 Veggie Capsules, 97% Pure Berberine HCL – 5:1 Root Extract – Plant Based, Vegan, Non-GMO","8.31","7.86","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","5.81","4.01","2025-12-31"
"42366","thorne berberine","THORNE","Carlyle","NOW","Health & Personal Care","Pet Products","Grocery","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","81.78","79.65","B00F5US2BY","THORNE - Berberine - 200 mg (Formerly Berbercap) - Supports Heart Function, Immune System and Gut Health* - 60 Capsules","7.27","6.42","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","1.63","0.04","2025-12-31"
"53740","berberine patches","Kind Patches","VIORY","Sunrogftic","Health & Personal Care","Home","Beauty","B0FYRG4789","Kind Patches GLP-1 Patches with L Glutamine, Berberine, Chromium, Pomegranate and Cinnamon - 2 Pack, 60 Patches","18.43","12.76","B0FPDLS4B1","VIORY Berberine Patches | Berberine Patch with L-Glutamine, Garcinia Cambogia, Resveratrol for Women & Men | 60 Days Supply","16.56","10.14","B0FMXXBBJH","Sunrogftic GLP-1 Patches, Natural Ingredients with Berberine, Cinnamon & L-Glutamine, Health Support & Physical Management, Transdermal Patch for Daily Wellness - 1 Packs, 30 Patches","8.73","8.54","2025-12-31"
"87584","berberine gummies","Purify Life","MEENCCD","Myrtaverde","Health & Personal Care","Home",,"B0FKZCPLR5","GLP1 Support for Weight Loss - Sugar-Free Berberine Complex Gummies w Ceylon Cinnamon, Milk Thistle, ACV [AMPK Metabolic Activator] Berberine Supplement for Appetite Control, Carb Blocker & Fat Burn","17.22","8.41","B0DJ94N1KW","MEENCCD Berberine Gummies with Ceylon Cinnamon 1500mg High Potency Berberine HCL Supplement for Immune Support, Sugar Free, Vegan, Strawberry Flavor, 60 Count","14.59","10.35","B0FZG254QL","2000mg Liposomal Berberine Supplement Gummies | High Potency Berberine HCL Activates AMPK with Ceylon Cinnamon | Dual Gut–Glucose Innovation | Advanced Absorption | Zero Sugar Mixed-Berry | 120 Count","11.19","19.96","2025-12-31"
"93664","berberine phytosome","FeelGood Superfoods","Enzymedica","THORNE","Health & Personal Care","Grocery",,"B0DF83J5CL","Feelgood Company - Berberine - High Absorption - 2200mg Equivalent - Herbal Supplement - Lower Blood Glucose - Helps Cholesterol - 60 Capsules","22.27","14.88","B0D1YS8N4Z","Enzymedica, Berberine Phytosome, 9.6X Better Bioavailability, High Potency Natural Vegan Dietary Supplement for Metabolic Support, 60 Capsules","14.69","12.8","B0D8VMPX1N","Nature Made Better Absorption Berberine Phytosome Capsules, 1100mg Per 2 Capsules Daily, Berberine Supplement for Cardiovascular Health Support, 60 Capsules, 30 Day Supply","8.19","6.59","2025-12-31"
"98151","berberine drops","Clean Nutraceuticals","Bunkka","Wild & Organic","Health & Personal Care","Pet Products","Grocery","B0D75VX5ML","Clean Nutra Berberine with Ceylon Cinnamon Supplement Liquid Drops + Bitter Melon Extract, Glucomannan, Gymnema, Chromium, Turmeric, Organic Panax Ginseng, Moringa GLP-1 Support","33.78","25.76","B0CRCYJCLL","Bunkka (2 Pack) Berberine Supplement, Berberine Liquid Drops with Ceylon Cinnamon, Bitter Melon, Sugar-Free & Vegan Supplement Supports Immune System & Gastrointestinal Care - 4 FL Oz","6.85","5.39","B0FL6B6HJ2","Berberine Drops with Ceylon Cinnamon Supplement, Berberine HCL, Chromium, Bitter Melon & Turmeric Liquid Drops for Immune Health & Metabolic Support, Fast Absorption - 4 fl oz","6.57","5.29","2025-12-31"
"163110","berberine patches weight loss","VIORY","Velzara","Adellina","Health & Personal Care","Home","Beauty","B0FPDLS4B1","VIORY Berberine Patches | Berberine Patch with L-Glutamine, Garcinia Cambogia, Resveratrol for Women & Men | 60 Days Supply","21.18","12.77","B0G1YCMQN4","Berberine GLP1 Patches for Women & Men Boost Glp 30 Pcs","14.72","11.55","B0FYRG4789","Kind Patches GLP-1 Patches with L Glutamine, Berberine, Chromium, Pomegranate and Cinnamon - 2 Pack, 60 Patches","7.77","5.78","2025-12-31"
"168047","berberine'","Nature's Bounty","THORNE","Carlyle","Health & Personal Care",,,"B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","16.31","8.74","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","9.8","9.02","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","8.04","4.1","2025-12-31"
"171833","berberine hcl","Nutricost","NOW","NATURE TARGET","Health & Personal Care",,,"B0CZMDPWG5","Nutricost Berberine HCl with Ceylon Cinnamon Capsules (120 Capsules, 60 Servings) - Non-GMO, Animal-Free Product","13.0","13.43","B0DXM7Q176","Now Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","9.92","9.8","B079GH6V2Z","Nutricost Berberine HCl 1200mg , 60 Vegetarian Capsules - Gluten Free & Non-GMO","8.73","6.35","2025-12-31"
"203870","liposomal berberine","CaelumCore","Rho Nutrition","Garden of Life","Health & Personal Care","Wireless","Pet Products","B0DBLHXG3Z","CaelumCore Liposomal Berberine HCL - Berberine 1500mg Activates AMPK, High Bioavailability Berberines Supplement for Women and Men, Supports Body Balance","18.84","16.41","B0D9ZTJXRC","Rho Nutrition Liposomal Berberine Capsules - Ultra High Absorption Supplement – Supports Immune Function, Gut Health and Metabolic and Cardiovascular Health (60 Capsules)","10.34","7.56","B0CGRYVKPV","Garden of Life Liposomal Berberine and Chromium Picolinate for Already Healthy Blood Sugar, Glucose Metabolism and Cholesterol—Probiotics for Easy Digestion—Non GMO, Gluten Free, Kosher, 30 Servings","7.04","7.13","2025-12-31"
